input,output
"NHSCOVID-19isavoluntarycontacttracingappformonitoringthespreadoftheCOVID-19pandemicinEnglandandWales.Ithasbeenavailablesince24September2020forAndroidandiOSsmartphones,andcanbeusedbyanyoneaged16orover.Twoversionsoftheapphavebeencreated.ThefirstwascommissionedbyNHSXanddevelopedbythePivotaldivisionofAmericansoftwarecompanyVMware.ApilotdeploymentwasbeguninMay2020,buton18JunedevelopmentoftheappwasabandonedinfavourofaseconddesignusingtheApple/GoogleExposureNotificationsystem.ScotlandandNorthernIrelandhaveseparatecontacttracingapps.","NHS COVID-19 is a voluntary contact tracing app for monitoring the spread of the COVID-19 pandemic in England and Wales. It has been available since 24 September 2020 for Android and iOS smartphones, and can be used by anyone aged 16 or over.Two versions of the app have been created. The first was commissioned by NHSX and developed by the Pivotal division of American software company VMware. A pilot deployment was begun in May 2020, but on 18 June development of the app was abandoned in favour of a second design using the Apple/Google Exposure Notification system. Scotland and Northern Ireland have separate contact tracing apps."
"UmmannoorisavillageandgrampanchayatinKollamdistrictinthestateofKerala,India.ItcomesunderKottarakkaraassembly,MavelikkaraparliamentaryconstituencyandVettikkavalablockpanchayat.TheplacehaveagoodfunctionalVillageofficetoo.Ummannoorvillagehaspopulationof17406aspertheCensusIndia2011.UmmannoorisknownforfarmingandagriculturaltradelikeGinger,Blackpepper,Paddy,Rubberetc.St.JohnsHighersecondaryisoneoftheoldestschoolinthearea.AgoodPrimaryHelthcentreisfunctioningnearUmmannoorvillageoffice.","Ummannoor  is a village and gram panchayat in Kollam district in the state of Kerala, India.It comes under Kottarakkara assembly, Mavelikkara parliamentary constituency and Vettikkavala block panchayat. The place have a good functional Village office too. Ummannoor village has population of 17406 as per the Census India 2011. Ummannoor is known for farming and agricultural trade like Ginger, Black pepper, Paddy, Rubber etc. St.Johns Higher secondary is one of the oldest school in the area. A good Primary Helth centre is functioning near Ummannoor village office."
"Lapsangsouchong(;Chinese:;pinyin:zhngshnxiozhng)isablackteaconsistingofCamelliasinensisleavesthataresmoke-driedoverapinewoodfire.Thissmokingisaccomplishedeitherasacoldsmokeoftherawleavesastheyareprocessedorasahotsmokeofpreviouslyprocessed(witheredandoxidized)leaves.Theintensityofthesmokearomacanbevariedbylocatingtheleavescloserorfarther(orhigherorlowerinamulti-levelfacility)fromthesourceofheatandsmokeorbyadjustingthedurationoftheprocess.Theflavourandaromaoflapsangsouchongisdescribedascontainingempyreumaticnotes,includingwoodsmoke,pineresin,smokedpaprika,anddriedlongan;itmaybemixedwithmilkbutisnotbitterandusuallynotsweetenedwithsugar.TheteaoriginatesfromtheWuyiMountainsregionofFujian,ChinaandisconsideredaWuyitea(orbohea).ItisalsoproducedinTaiwan(Formosa).Ithasbeenlabelledassmokedtea(),ZhengShanXiaoZhong,smokysouchong,tarrylapsangsouchong,andlapsangsouchongcrocodile.Whilethetealeafgradingsystemadoptedthetermsouchongtorefertoaparticularleafposition,lapsangsouchongmaybemadewithanyleafoftheCamelliasinensisplant,thoughitisnotunusualforthelowerleaves,whicharelargerandlessflavourful,tobeusedasthesmokingcompensatesforthelowerflavourprofileandthehigherleavesaremorevaluableforuseinunflavouredorunblendedteas.Inadditiontoitsconsumptionasatea,lapsangsouchongisalsousedinstockforsoups,stewsandsaucesorotherwiseasaspiceorseasoning.","Lapsang souchong (; Chinese: ; pinyin: zhngshn xiozhng) is a black tea consisting of Camellia sinensis leaves that are smoke-dried over a pinewood fire. This smoking is accomplished either as a cold smoke of the raw leaves as they are processed or as a hot smoke of previously processed (withered and oxidized) leaves. The intensity of the smoke aroma can be varied by locating the leaves closer or farther (or higher or lower in a multi-level facility) from the source of heat and smoke or by adjusting the duration of the process. The flavour and aroma of lapsang souchong is described as containing empyreumatic notes, including wood smoke, pine resin, smoked paprika, and dried longan; it may be mixed with milk but is not bitter and usually not sweetened with sugar. The tea originates from the Wuyi Mountains region of Fujian, China and is considered a Wuyi tea (or bohea).  It is also produced in Taiwan (Formosa). It has been labelled as smoked tea (), Zheng Shan Xiao Zhong, smoky souchong, tarry lapsang souchong, and lapsang souchong crocodile. While the tea leaf grading system adopted the term souchong to refer to a particular leaf position, lapsang souchong may be made with any leaf of the Camellia sinensis plant, though it is not unusual for the lower leaves, which are larger and less flavourful, to be used as the smoking compensates for the lower flavour profile and the higher leaves are more valuable for use in unflavoured or unblended teas. In addition to its consumption as a tea, lapsang souchong is also used in stock for soups, stews and sauces or otherwise as a spice or seasoning.  "
"CarlBellingrodt(18971971)wasoneofthebest-knownGermanrailwayphotographersofthe20thcenturyandco-founderoftheFederalAssociationofGermanRailwayFriends(BundesverbandDeutscherEisenbahn-Freunde)orBDEF.Heworkedprofessionallyasapoliceofficer,laterswitchingtofinancialmanagement.","Carl Bellingrodt (18971971) was one of the best-known German railway photographers of the 20th century and co-founder of the Federal Association of German Railway Friends (Bundesverband Deutscher Eisenbahn-Freunde) or BDEF. He worked professionally as a police officer, later switching to financial management."
"PhadiaraisatownlocatedinthePunjabprovinceofPakistan.ItislocatedinLahoreDistrictat3114'40N7311'30Ewithanaltitudeof175metres(577feet).NeighbouringsettlementsincludeManak,SinghKhalsaandGobindsar.","Phadiara is a town located in the Punjab province of Pakistan. It is located in Lahore District at 3114'40N 7311'30E with an altitude of 175 metres (577 feet). Neighbouring settlements include Manak, Singh Khalsa and Gobindsar."
"NorthwestField(historicallyNorthwestGuamAirForceBase)isamilitaryairfieldinGuam.Builtin1945duringWorldWarII,theairfieldwasusedasabomberbaseduringandafterthewaruntilitwasclosedin1949.Unitsdeployedtotheairfieldincludedthe315thBombardmentWing(stationedfrom1945to1946)andthe23rdFighterGroup(stationedfrom1946to1949).Sincearound2010,theairfieldhasbeenpartiallyreactivatedandisusedfortrainingrelatedtooperatingatairfieldsinaustereconditions,includingbeingoneofthelocationstohostCopeNorthexercises.","Northwest Field (historically Northwest Guam Air Force Base) is a military airfield in Guam. Built in 1945 during World War II, the airfield was used as a bomber base during and after the war until it was closed in 1949.Units deployed to the airfield included the 315th Bombardment Wing (stationed from 1945 to 1946) and the 23rd Fighter Group (stationed from 1946 to 1949).Since around 2010, the airfield has been partially reactivated and is used for training related to operating at airfields in austere conditions, including being one of the locations to host Cope North exercises.  "
"TheinversiontotheWarburgeffectisacorollarytotheWarburghypothesisorWarburgeffectthatwasdiscoveredinobesity.Warburg'shypothesissuggeststhattumorcellsproliferatequicklyandaggressivelybyobtainingenergyorATP,throughhighglucoseconsumptionandlactateproduction.Whentumorcellsarefoundinanobesityenvironment,theresearchersperceivethatthecellsinsteadofconsumingglucoseinglycolysisproduceglucosethroughgluconeogenesisusingassubstratesthelactatethatinsteadofbeingproducedisconsumed.TheauthorsexplainthatthisisduetotheincreaseinnutrientsthatarefoundinanobeseorganismandthatthecellobtainsenergythroughmorecaloricnutrientssuchasfattyacidsthatarecompletelyoxidizedthroughtheKrebscyclefollowedbyoxidativephosphorylation.","The inversion to the Warburg effect is a corollary to the Warburg hypothesis or Warburg effect that was discovered in obesity. Warburg's hypothesis suggests that tumor cells proliferate quickly and aggressively by obtaining energy or ATP, through high glucose consumption and lactate production. When tumor cells are found in an obesity environment, the researchers perceive that the cells instead of consuming glucose in glycolysis produce glucose through gluconeogenesis using as substrates the lactate that instead of being produced is consumed. The authors explain that this is due to the increase in nutrients that are found in an obese organism and that the cell obtains energy through more caloric nutrients such as fatty acids that are completely oxidized through the Krebs cycle followed by oxidative phosphorylation."
"Thewomen'sshotputcompetitionatthe1968SummerOlympicsinMexicoCity,MexicotookplaceonOctober20.","The women's shot put competition at the 1968 Summer Olympics in Mexico City, Mexico took place on October 20."
NotiophilusdirectusisaspeciesofgroundbeetleinthefamilyCarabidae.ItisfoundinNorthAmerica.,Notiophilus directus is a species of ground beetle in the family Carabidae. It is found in North America.
NintambadaisavillageintheBassarPrefectureintheKaraRegionofnorth-westernTogo.,Nintambada  is a village in the Bassar Prefecture in the Kara Region  of north-western Togo.
"TianxinPavilion(simplifiedChinese:;traditionalChinese:;pinyin:TinxnG)isanancientChinesepavilionlocatedontheancientcitywallofChangsha,Hunan.Thepavilionwasfirstestablishedinthe14thcentury,atthedawnofMingdynasty(13681644),butbecauseofwarandnaturaldisastershasbeenrestoredandrenovatednumeroustimessincethen.Thepresentversionwascompletedin1984.TianxinPavilioniscomposedofthreepavilions,thethreestoriesmainpavilionandthetwostoriesauxiliarypavilions.Thetwosidesareconnectedwithalongcorridor.AlongsidetheYueyangTower,PavilionofPrinceTeng,YellowCraneTower,StorkTower,PenglaiPavilion,DaguanPavilion,YuejiangTower,Xi'anBellandDrumTowerandTianyiPavilion,itisoneofthe""TenFamousChineseHistoricalandCulturalTowersandPavilions""().","Tianxin Pavilion (simplified Chinese: ; traditional Chinese: ; pinyin: Tinxn G) is an ancient Chinese pavilion located on the ancient city wall of Changsha, Hunan. The pavilion was first established in the 14th century, at the dawn of Ming dynasty (13681644), but because of war and natural disasters has been restored and renovated numerous times since then. The present version was completed in 1984. Tianxin Pavilion is composed of three pavilions, the threestories main pavilion and the twostories auxiliary pavilions. The two sides are connected with a long corridor. Alongside the Yueyang Tower, Pavilion of Prince Teng, Yellow Crane Tower, Stork Tower, Penglai Pavilion, Daguan Pavilion, Yuejiang Tower, Xi'an Bell and Drum Tower and Tianyi Pavilion, it is one of the ""Ten Famous Chinese Historical and Cultural Towers and Pavilions"" ()."
"The195758SerieAseasonwasthe24thseasonoftheSerieA,thetopleveloficehockeyinItaly.Sixteamsparticipatedintheleague,andMilan-InterHCwonthechampionship.","The 195758 Serie A season was the 24th season of the Serie A, the top level of ice hockey in Italy. Six teams participated in the league, and Milan-Inter HC won the championship."
"The201920UEFAYouthLeaguewastheseventhseasonoftheUEFAYouthLeague,aEuropeanyouthclubfootballcompetitionorganisedbyUEFA.Followingtheroundof16,thecompetitionwaspostponedindefinitelyduetotheCOVID-19pandemicinEurope.Thefinaltournamentconsistingofthesemi-finalsandfinal,originallyscheduledtobeplayedon17and20April2020attheColovrayStadiuminNyon,Switzerland,wereofficiallypostponedon18March2020.On17June2020,UEFAannouncedthattheremainingmatches,includingtworoundof16matches,quarter-finals,semi-finalsandfinal,wouldbeplayedbetween16and25AugustattheColovrayStadiuminNyon,Switzerlandbehindcloseddoors.RealMadriddefeatedBenficainthefinal32towintheirfirsttitle.Portowerethedefendingchampions,butwereeliminatedbyRedBullSalzburgintheplay-offs.","The 201920 UEFA Youth League was the seventh season of the UEFA Youth League, a European youth club football competition organised by UEFA. Following the round of 16, the competition was postponed indefinitely due to the COVID-19 pandemic in Europe. The final tournament consisting of the semi-finals and final, originally scheduled to be played on 17 and 20 April 2020 at the Colovray Stadium in Nyon, Switzerland, were officially postponed on 18 March 2020. On 17 June 2020, UEFA announced that the remaining matches, including two round of 16 matches, quarter-finals, semi-finals and final, would be played between 16 and 25 August at the Colovray Stadium in Nyon, Switzerland behind closed doors.Real Madrid defeated Benfica in the final 32 to win their first title. Porto were the defending champions, but were eliminated by Red Bull Salzburg in the play-offs."
